gene,log2FC
CBX3,23.096835
CTNND1,22.511585
CTTNBP2NL,18.01067
EIF5B,22.0675
GATAD2A,
GIT1,20.419135
HMGA1,16.93524
HNRNPU,22.163335
KIAA0930,19.10908
KMT2C,
LASP1,25.297805
LIG3,24.45736
NELFA,20.990195
NUCKS1,22.682875
NUMA1,15.07556
NUP153,21.817155
PBK,23.61878
PHF10,
SCAF11,
SEC24D,16.188405
SIN3B,
SMC6,14.996717
SMNDC1,21.03795
SMURF1,22.06119
STMN1,26.331145
TLE3,21.684469999999997
TNK1,21.25771
TOM1,17.671165000000002
TTF1,19.54823
TTK,20.401495
VCPIP1,23.613045
ZC3HAV1,17.479465
CDC42EP3,16.491590000000002
CDCA5,18.67306
DOT1L,
GTSE1,17.0312
KHNYN,23.48923
KIF1A,23.243415
MARK2,19.968435
NUP98,22.599015
SASH1,23.055545000000002
SEC61B,21.383715000000002
SRSF7,
DSP,22.948895
SCAF1,21.75874
AHCTF1,21.241185
ATN1,
BTBD9,
C9orf172,21.012990000000002
CHCHD3,22.068075
CPSF3,19.38778
EIF6,13.241985
FBRSL1,21.022154999999998
FLNB,22.3258
FXR1,20.745025000000002
FXR2,24.6037
HNRNPA1;HNRNPA1L2,22.190469999999998
HNRNPA3,22.28906
HNRNPAB,20.08245
HNRNPUL1,
LEO1,20.11119
NAA10,21.728665
NEDD4L,20.46884
RIF1,18.968145
TRA2B;TRA2A,24.767674999999997
WDR13,25.207295000000002
ZCCHC17,23.499755
ABI1,25.44348
AP3D1,
APC,
ARFGEF2,24.777414999999998
BAP1,14.275635
CCDC9,23.230895
FAM83E,21.197689999999998
FNBP1,20.025765
FNBP4,12.464685
IRF2BP2,
JUNB,16.493920000000003
LUC7L3,14.9019255
MATR3,24.988065
MCM7,19.63222
NIFK,16.39649
P45983-5,
PCBP2,26.08639
PCM1,13.5964735
PHKB,
PPIE,
PPP1R12A;PPP1R12B,21.566940000000002
PURB,17.857335
RANBP2,21.207259999999998
RARG,22.290915000000002
SAP30,14.389228500000002
SEC22B,22.7419
SNX1,21.94602
SPECC1L,24.22363
TACC2,22.479945
TNRC18,20.73459
TPR,18.07339
TSC22D3,21.236665
ZNF768,20.893765000000002
AFAP1,22.561895
DDI2,
SERINC1,
ZC3H11A,
DBN1,13.7607285
P78383-2,13.243981999999999
ARHGAP11A,19.748525
ARHGAP32,17.163655000000002
ARHGEF5,19.565005
BRD1,19.202095
C2orf49,15.235064000000001
CAD,28.216615
CAST,19.819229999999997
CCDC6,20.7174
CCDC88C,18.151085000000002
CCSER2,
CHAMP1,24.70127
CTDSPL2,22.159595
DOCK5,21.619600000000002
ELK1,19.194975
FAM208B,18.43761
GPBP1L1,15.580470000000002
GRAMD3,
GTF2IRD2B;GTF2IRD2,
KMT2A,
LIG1,22.564515
LIMA1,
LMNB2,
LMO7,19.171305
MBD3,24.23187
MYO5A,17.732345000000002
PARD3,23.25305
PGR,20.511325
PPFIA1,19.712795
PRR15,22.113210000000002
RABL6,21.373215000000002
RANBP10,20.7091
RBM10,24.857234999999996
RBM15B,25.179115
RBM25,20.45395
RPLP0;RPLP0P6,18.444274999999998
TANK,
TNS3,21.055815
TPX2,24.53996
WDR59,23.746185
